cnae,uf,porte,faixa_idade,qtd_empresas,qtd_estabelecimentos
9602-5/01,SP,DEMAIS,0-2,25,25
9602-5/01,SP,DEMAIS,10+,165,165
9602-5/01,SP,DEMAIS,2-5,41,41
9602-5/01,SP,DEMAIS,5-10,80,80
9602-5/01,SP,EPP,0-2,250,250
9602-5/01,SP,EPP,10+,449,449
9602-5/01,SP,EPP,2-5,545,545
9602-5/01,SP,EPP,5-10,415,415
9602-5/01,SP,ME,0-2,3758,3758
9602-5/01,SP,ME,10+,17842,17842
9602-5/01,SP,ME,2-5,9200,9200
9602-5/01,SP,ME,5-10,26341,26341
9602-5/01,SP,MEI,0-2,38628,38628
9602-5/01,SP,MEI,10+,39998,39998
9602-5/01,SP,MEI,2-5,72530,72530
9602-5/01,SP,MEI,5-10,60325,60325
9602-5/02,SP,DEMAIS,0-2,40,40
9602-5/02,SP,DEMAIS,10+,145,145
9602-5/02,SP,DEMAIS,2-5,175,175
9602-5/02,SP,DEMAIS,5-10,1344,1344
9602-5/02,SP,EPP,0-2,332,332
9602-5/02,SP,EPP,10+,263,263
9602-5/02,SP,EPP,2-5,770,770
9602-5/02,SP,EPP,5-10,494,494
9602-5/02,SP,ME,0-2,2911,2911
9602-5/02,SP,ME,10+,6133,6133
9602-5/02,SP,ME,2-5,7474,7474
9602-5/02,SP,ME,5-10,10802,10802
9602-5/02,SP,MEI,0-2,14082,14082
9602-5/02,SP,MEI,10+,12067,12067
9602-5/02,SP,MEI,2-5,31053,31053
9602-5/02,SP,MEI,5-10,22213,22213
