ano,regime,porte,aberturas,fechamentos
2021,FORA_SIMPLES,DEMAIS,312,112
2021,FORA_SIMPLES,EPP,215,182
2021,FORA_SIMPLES,ME,22804,17149
2021,MEI,MEI,28710,27980
2021,SIMPLES,DEMAIS,22,70
2021,SIMPLES,EPP,192,91
2021,SIMPLES,ME,2063,2751
2022,FORA_SIMPLES,DEMAIS,121,125
2022,FORA_SIMPLES,EPP,177,179
2022,FORA_SIMPLES,ME,22725,22430
2022,MEI,MEI,34034,21555
2022,SIMPLES,DEMAIS,26,9
2022,SIMPLES,EPP,266,21
2022,SIMPLES,ME,2235,389
2023,FORA_SIMPLES,DEMAIS,62,90
2023,FORA_SIMPLES,EPP,162,206
2023,FORA_SIMPLES,ME,15538,30922
2023,MEI,MEI,35391,15829
2023,SIMPLES,DEMAIS,22,4
2023,SIMPLES,EPP,338,24
2023,SIMPLES,ME,2412,230
2024,FORA_SIMPLES,DEMAIS,59,116
2024,FORA_SIMPLES,EPP,205,268
2024,FORA_SIMPLES,ME,13324,35329
2024,MEI,MEI,43150,16594
2024,SIMPLES,DEMAIS,10,3
2024,SIMPLES,EPP,453,31
2024,SIMPLES,ME,2938,291
2025,FORA_SIMPLES,DEMAIS,55,90
2025,FORA_SIMPLES,EPP,100,233
2025,FORA_SIMPLES,ME,10118,35732
2025,MEI,MEI,52713,0
2025,SIMPLES,DEMAIS,11,0
2025,SIMPLES,EPP,492,9
2025,SIMPLES,ME,2969,32
