cnae,uf,regime,porte,faixa_idade,qtd_empresas,qtd_estabelecimentos
4520-0/01,SP,FORA_SIMPLES,DEMAIS,0-2,2,2
4520-0/01,SP,FORA_SIMPLES,DEMAIS,10+,257,281
4520-0/01,SP,FORA_SIMPLES,DEMAIS,2-5,18,18
4520-0/01,SP,FORA_SIMPLES,DEMAIS,5-10,36,37
4520-0/01,SP,FORA_SIMPLES,EPP,0-2,28,28
4520-0/01,SP,FORA_SIMPLES,EPP,10+,287,298
4520-0/01,SP,FORA_SIMPLES,EPP,2-5,115,116
4520-0/01,SP,FORA_SIMPLES,EPP,5-10,122,124
4520-0/01,SP,FORA_SIMPLES,ME,0-2,614,614
4520-0/01,SP,FORA_SIMPLES,ME,10+,4619,4656
4520-0/01,SP,FORA_SIMPLES,ME,2-5,1646,1647
4520-0/01,SP,FORA_SIMPLES,ME,5-10,4401,4409
4520-0/01,SP,MEI,MEI,0-2,8214,8214
4520-0/01,SP,MEI,MEI,10+,6162,6162
4520-0/01,SP,MEI,MEI,2-5,13372,13372
4520-0/01,SP,MEI,MEI,5-10,10374,10374
4520-0/01,SP,SIMPLES,DEMAIS,0-2,5,6
4520-0/01,SP,SIMPLES,DEMAIS,10+,92,93
4520-0/01,SP,SIMPLES,DEMAIS,2-5,10,10
4520-0/01,SP,SIMPLES,DEMAIS,5-10,20,20
4520-0/01,SP,SIMPLES,EPP,0-2,205,206
4520-0/01,SP,SIMPLES,EPP,10+,651,666
4520-0/01,SP,SIMPLES,EPP,2-5,385,386
4520-0/01,SP,SIMPLES,EPP,5-10,299,304
4520-0/01,SP,SIMPLES,ME,0-2,1400,1400
4520-0/01,SP,SIMPLES,ME,10+,7706,7755
4520-0/01,SP,SIMPLES,ME,2-5,3589,3596
4520-0/01,SP,SIMPLES,ME,5-10,4216,4240
4520-0/02,SP,FORA_SIMPLES,DEMAIS,0-2,1,1
4520-0/02,SP,FORA_SIMPLES,DEMAIS,10+,39,40
4520-0/02,SP,FORA_SIMPLES,DEMAIS,2-5,3,3
4520-0/02,SP,FORA_SIMPLES,DEMAIS,5-10,6,11
4520-0/02,SP,FORA_SIMPLES,EPP,0-2,6,6
4520-0/02,SP,FORA_SIMPLES,EPP,10+,70,74
4520-0/02,SP,FORA_SIMPLES,EPP,2-5,66,70
4520-0/02,SP,FORA_SIMPLES,EPP,5-10,56,58
4520-0/02,SP,FORA_SIMPLES,ME,0-2,186,186
4520-0/02,SP,FORA_SIMPLES,ME,10+,1836,1843
4520-0/02,SP,FORA_SIMPLES,ME,2-5,655,655
4520-0/02,SP,FORA_SIMPLES,ME,5-10,2270,2274
4520-0/02,SP,MEI,MEI,0-2,2961,2961
4520-0/02,SP,MEI,MEI,10+,2808,2808
4520-0/02,SP,MEI,MEI,2-5,5392,5392
4520-0/02,SP,MEI,MEI,5-10,4269,4269
4520-0/02,SP,SIMPLES,DEMAIS,0-2,2,2
4520-0/02,SP,SIMPLES,DEMAIS,10+,18,18
4520-0/02,SP,SIMPLES,DEMAIS,2-5,5,5
4520-0/02,SP,SIMPLES,DEMAIS,5-10,5,5
4520-0/02,SP,SIMPLES,EPP,0-2,56,56
4520-0/02,SP,SIMPLES,EPP,10+,133,134
4520-0/02,SP,SIMPLES,EPP,2-5,131,131
4520-0/02,SP,SIMPLES,EPP,5-10,77,78
4520-0/02,SP,SIMPLES,ME,0-2,344,346
4520-0/02,SP,SIMPLES,ME,10+,1531,1540
4520-0/02,SP,SIMPLES,ME,2-5,784,787
4520-0/02,SP,SIMPLES,ME,5-10,1048,1056
4520-0/03,SP,FORA_SIMPLES,DEMAIS,0-2,3,3
4520-0/03,SP,FORA_SIMPLES,DEMAIS,10+,7,7
4520-0/03,SP,FORA_SIMPLES,DEMAIS,2-5,9,19
4520-0/03,SP,FORA_SIMPLES,DEMAIS,5-10,2,4
4520-0/03,SP,FORA_SIMPLES,EPP,0-2,1,1
4520-0/03,SP,FORA_SIMPLES,EPP,10+,9,9
4520-0/03,SP,FORA_SIMPLES,EPP,2-5,5,5
4520-0/03,SP,FORA_SIMPLES,EPP,5-10,7,8
4520-0/03,SP,FORA_SIMPLES,ME,0-2,78,78
4520-0/03,SP,FORA_SIMPLES,ME,10+,417,422
4520-0/03,SP,FORA_SIMPLES,ME,2-5,205,205
4520-0/03,SP,FORA_SIMPLES,ME,5-10,555,556
4520-0/03,SP,MEI,MEI,0-2,1092,1092
4520-0/03,SP,MEI,MEI,10+,1030,1030
4520-0/03,SP,MEI,MEI,2-5,1941,1941
4520-0/03,SP,MEI,MEI,5-10,1537,1537
4520-0/03,SP,SIMPLES,DEMAIS,10+,5,5
4520-0/03,SP,SIMPLES,DEMAIS,2-5,1,1
4520-0/03,SP,SIMPLES,DEMAIS,5-10,2,2
4520-0/03,SP,SIMPLES,EPP,0-2,14,14
4520-0/03,SP,SIMPLES,EPP,10+,26,26
4520-0/03,SP,SIMPLES,EPP,2-5,29,30
4520-0/03,SP,SIMPLES,EPP,5-10,15,15
4520-0/03,SP,SIMPLES,ME,0-2,140,140
4520-0/03,SP,SIMPLES,ME,10+,708,711
4520-0/03,SP,SIMPLES,ME,2-5,403,404
4520-0/03,SP,SIMPLES,ME,5-10,487,487
