referencia,tipo,quantidade
2025-10,automovel,20738790
2025-10,motocicleta,5929586
2025-10,caminhonete,2274173
2025-10,camioneta,1827044
2025-10,motoneta,1400303
2025-10,caminhao,732592
2025-10,utilitario,627397
2025-10,reboque,537720
2025-10,semi-reboque,348609
2025-10,caminhao trator,243477
2025-10,onibus,184779
2025-10,micro-onibus,129166
2025-10,outros,99183
2025-10,ciclomotor,92911
2025-10,trator rodas,12378
2025-10,triciclo,11456
2025-10,side-car,1760
2025-10,quadriciclo,155
2025-10,trator esteira,152
2025-10,chassi plataforma,83
2025-10,bonde,4
