cnae,uf,porte,faixa_idade,qtd_empresas,qtd_estabelecimentos
4530-7/05,ES,MEI,0-2,12,12
4530-7/05,ES,MEI,2-5,18,18
4530-7/05,ES,MEI,5-10,15,15
4530-7/05,ES,MEI,10+,15,15
4530-7/05,ES,ME,0-2,6,6
4530-7/05,ES,ME,2-5,9,9
4530-7/05,ES,ME,5-10,8,8
4530-7/05,ES,ME,10+,8,8
4530-7/05,ES,EPP,0-2,1,1
4530-7/05,ES,EPP,2-5,1,1
4530-7/05,ES,EPP,5-10,1,1
4530-7/05,ES,EPP,10+,1,1
4520-0/01,ES,MEI,0-2,24,24
4520-0/01,ES,MEI,2-5,36,36
4520-0/01,ES,MEI,5-10,30,30
4520-0/01,ES,MEI,10+,30,30
4520-0/01,ES,ME,0-2,12,12
4520-0/01,ES,ME,2-5,18,18
4520-0/01,ES,ME,5-10,15,15
4520-0/01,ES,ME,10+,15,15
4520-0/01,ES,EPP,0-2,1,1
4520-0/01,ES,EPP,2-5,2,2
4520-0/01,ES,EPP,5-10,2,2
4520-0/01,ES,EPP,10+,2,2
4520-0/04,ES,MEI,0-2,5,5
4520-0/04,ES,MEI,2-5,7,7
4520-0/04,ES,MEI,5-10,6,6
4520-0/04,ES,MEI,10+,6,6
4520-0/04,ES,ME,0-2,2,2
4520-0/04,ES,ME,2-5,4,4
4520-0/04,ES,ME,5-10,3,3
4520-0/04,ES,ME,10+,3,3
4520-0/04,ES,EPP,0-2,1,1
4520-0/04,ES,EPP,2-5,1,1
4520-0/04,ES,EPP,5-10,1,1
4520-0/04,ES,EPP,10+,1,1
4520-0/05,ES,MEI,0-2,10,10
4520-0/05,ES,MEI,2-5,15,15
4520-0/05,ES,MEI,5-10,12,12
4520-0/05,ES,MEI,10+,12,12
4520-0/05,ES,ME,0-2,5,5
4520-0/05,ES,ME,2-5,8,8
4520-0/05,ES,ME,5-10,6,6
4520-0/05,ES,ME,10+,6,6
4520-0/05,ES,EPP,0-2,1,1
4520-0/05,ES,EPP,2-5,1,1
4520-0/05,ES,EPP,5-10,1,1
4520-0/05,ES,EPP,10+,1,1
4520-0/06,ES,MEI,0-2,16,16
4520-0/06,ES,MEI,2-5,24,24
4520-0/06,ES,MEI,5-10,20,20
4520-0/06,ES,MEI,10+,20,20
4520-0/06,ES,ME,0-2,8,8
4520-0/06,ES,ME,2-5,12,12
4520-0/06,ES,ME,5-10,10,10
4520-0/06,ES,ME,10+,10,10
4520-0/06,ES,EPP,0-2,1,1
4520-0/06,ES,EPP,2-5,1,1
4520-0/06,ES,EPP,5-10,1,1
4520-0/06,ES,EPP,10+,1,1
