referencia,municipio,tipo,quantidade
2026-05 (DEMO),São Gabriel da Palha,automovel,9000
2026-05 (DEMO),São Gabriel da Palha,motocicleta,7000
2026-05 (DEMO),São Gabriel da Palha,caminhonete/camioneta/utilitario,4000
2026-05 (DEMO),Vila Valério,automovel,2700
2026-05 (DEMO),Vila Valério,motocicleta,2100
2026-05 (DEMO),Vila Valério,caminhonete/camioneta/utilitario,1200
2026-05 (DEMO),São Domingos do Norte,automovel,1800
2026-05 (DEMO),São Domingos do Norte,motocicleta,1400
2026-05 (DEMO),São Domingos do Norte,caminhonete/camioneta/utilitario,800
2026-05 (DEMO),Águia Branca,automovel,2025
2026-05 (DEMO),Águia Branca,motocicleta,1575
2026-05 (DEMO),Águia Branca,caminhonete/camioneta/utilitario,900
2026-05 (DEMO),Nova Venécia,automovel,13500
2026-05 (DEMO),Nova Venécia,motocicleta,10500
2026-05 (DEMO),Nova Venécia,caminhonete/camioneta/utilitario,6000
2026-05 (DEMO),Colatina,automovel,33750
2026-05 (DEMO),Colatina,motocicleta,26250
2026-05 (DEMO),Colatina,caminhonete/camioneta/utilitario,15000
