ano,regime,porte,aberturas,fechamentos
2021,FORA_SIMPLES,DEMAIS,25,81
2021,FORA_SIMPLES,EPP,82,86
2021,FORA_SIMPLES,ME,4836,4857
2021,MEI,MEI,6062,5613
2021,SIMPLES,DEMAIS,3,82
2021,SIMPLES,EPP,120,76
2021,SIMPLES,ME,1470,2816
2022,FORA_SIMPLES,DEMAIS,19,82
2022,FORA_SIMPLES,EPP,116,91
2022,FORA_SIMPLES,ME,4179,5044
2022,MEI,MEI,6431,3120
2022,SIMPLES,DEMAIS,6,2
2022,SIMPLES,EPP,159,20
2022,SIMPLES,ME,1502,228
2023,FORA_SIMPLES,DEMAIS,28,33
2023,FORA_SIMPLES,EPP,115,114
2023,FORA_SIMPLES,ME,3229,6310
2023,MEI,MEI,6933,2816
2023,SIMPLES,DEMAIS,8,2
2023,SIMPLES,EPP,186,13
2023,SIMPLES,ME,1549,134
2024,FORA_SIMPLES,DEMAIS,34,69
2024,FORA_SIMPLES,EPP,107,140
2024,FORA_SIMPLES,ME,2719,7221
2024,MEI,MEI,8599,2679
2024,SIMPLES,DEMAIS,2,1
2024,SIMPLES,EPP,226,19
2024,SIMPLES,ME,1819,168
2025,FORA_SIMPLES,DEMAIS,27,37
2025,FORA_SIMPLES,EPP,46,60
2025,FORA_SIMPLES,ME,2111,7107
2025,MEI,MEI,12268,0
2025,SIMPLES,DEMAIS,8,0
2025,SIMPLES,EPP,282,3
2025,SIMPLES,ME,1923,16
